Configuration,Rule Source,Sarif Identifier,Alerts
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/missing-origin-check,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/missing-rate-limiting,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/missing-space-in-concatenation,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/missing-this-qualifier,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/missing-token-validation,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/missing-variable-declaration,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/misspelled-variable-name,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/mixed-static-instance-this-access,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/nested-function-reference-in-default-parameter,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/node/assignment-to-exports-variable,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/node/missing-exports-qualifier,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/non-linear-pattern,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/non-standard-language-feature,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/overly-large-range,0
